algo,serie,taille,r,temps
progdyn,100,100,212,0.151620
progdyn,100,100,270,0.184970
progdyn,100,100,333,0.294528
progdyn,100,100,412,0.351010
progdyn,100,100,485,0.403968
progdyn,100,100,543,0.510118
progdyn,100,100,574,0.539166
progdyn,100,100,659,0.606291
progdyn,10,100,17,0.020257
progdyn,10,100,18,0.021785
progdyn,10,100,24,0.036020
progdyn,10,100,31,0.040096
progdyn,10,100,46,0.060252
progdyn,10,100,84,0.135954
progdyn,10,100,53,0.079167
progdyn,10,100,59,0.092700
progdyn,10,100,71,0.114203
progdyn,10,100,71,0.118473
local,1000,10000,62475,34364.252728
local,1000,10000,122408,88725.676569
local,1000,10000,178456,147393.221672
local,1000,10000,239232,233248.590274
local,1000,10000,297558,340574.993789
local,1000,10000,356540,435047.145645
local,1000,10000,413604,586934.709768
local,1000,10000,470197,710308.235896
local,1000,10000,530112,861336.368071
local,1000,10000,589316,1018864.998241
local,100,10000,6266,33889.724513
local,100,10000,12307,84223.462556
local,100,10000,18097,139254.731213
local,100,10000,24251,218330.201478
local,100,10000,30131,315151.713646
local,100,10000,36489,420955.046826
local,100,10000,42149,542265.989394
local,100,10000,47954,751534.694890
local,100,10000,54541,882780.190575
local,100,10000,60582,1053124.630550
local,10,10000,655,18837.437778
local,10,10000,1309,50008.194940
local,10,10000,1962,89514.561378
local,10,10000,2620,163266.912277
local,10,10000,3280,230871.870263
local,10,10000,3979,332650.864899
local,10,10000,4588,375392.146978
local,10,10000,5256,519538.742995
local,10,10000,5894,627264.480924
local,10,10000,6488,705351.204614
local,1000,1000,6739,146.483764
local,1000,1000,12128,164.468747
local,1000,1000,17588,266.967630
local,1000,1000,24471,348.895516
local,1000,1000,29454,430.764895
local,1000,1000,35506,550.364172
local,1000,1000,39883,674.002574
local,1000,1000,45867,883.415868
local,1000,1000,53118,906.364436
local,1000,1000,57487,1134.925441
local,100,1000,645,67.008387
local,100,1000,1237,110.724314
local,100,1000,1837,218.885243
local,100,1000,2429,316.938263
local,100,1000,3044,380.616103
local,100,1000,3709,639.528338
local,100,1000,4104,656.988214
local,100,1000,4875,913.589549
local,100,1000,5452,1180.309168
local,100,1000,5991,1119.985110
local,10,1000,68,35.481558
local,10,1000,133,68.552598
local,10,1000,204,184.111734
